"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","posNeg","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-04-04",9264,1482,554,5500,5086,30266,41768,1372626,196066,147,656,0,317434,33212,12816,56,1723147,226657
"2020-04-03",7782,1286,486,4928,4554,25729,36682,1176560,101013,147,605,0,284222,32076,10861,56,1496490,134418
"2020-04-02",6496,1172,456,4513,4175,22956,32128,1075547,91058,140,574,0,252146,28060,8586,56,1362072,121243
"2020-04-01",5324,1011,407,3937,4228,20775,27953,984489,82981,140,561,0,224086,25791,7084,56,1240829,110730
"2020-03-31",4313,890,236,3487,3906,18082,23725,901508,87657,,507,0,198295,24853,5666,56,1130099,115377
"2020-03-30",3423,589,187,3087,2536,15772,19819,813851,96706,,451,0,173442,22042,4560,56,1014722,119010
"2020-03-29",2834,521,156,2456,2775,14026,17283,717145,68187,,439,0,151400,19581,4052,56,895712,85213
"2020-03-28",2313,538,140,2174,2425,12350,14508,648958,87375,,390,0,131819,19692,3143,56,810499,98401
"2020-03-27",1775,406,124,1792,2563,10932,12083,561583,83781,,324,0,112127,19128,2418,56,712098,105186
"2020-03-26",1369,319,91,1299,2499,7757,9520,477802,84311,,258,0,92999,17720,97,56,606912,106068
"2020-03-25",1050,235,74,,1904,5062,7021,393491,71728,,167,0,75279,12908,146,56,500844,84023
"2020-03-24",815,234,,,1180,3902,5117,321763,58695,,,0,62371,10769,,56,416821,69846
"2020-03-23",581,101,,,914,2770,3937,263068,46894,,,0,51602,11439,,56,346975,59136
"2020-03-22",480,146,,,1003,2155,3023,216174,36456,,,0,40163,9125,,56,287839,49003
"2020-03-21",334,62,,,1912,1436,2020,179718,38628,,,0,31038,6793,,56,238836,49157
"2020-03-20",272,69,,,23,1042,108,141090,30568,,,0,24245,6147,,56,189679,41015
"2020-03-19",203,48,,,18,617,85,110522,23323,,,0,18098,4651,,56,148664,31018
"2020-03-18",155,32,,,12,416,67,87199,22068,,,0,13447,3089,,56,117646,28281
"2020-03-17",123,23,,,13,325,55,65131,13945,,,0,10358,2588,,56,89365,18628
"2020-03-16",100,21,,,6,,42,51186,16525,,,0,7770,1748,,56,70737,20304
"2020-03-15",79,15,,,10,,36,34661,6553,,,0,6022,1291,,51,50433,8371
"2020-03-14",64,9,,,4,,26,28108,3852,,,0,4731,924,,51,42062,5736
"2020-03-13",55,4,,,6,,22,24256,8318,,,0,3807,1072,,51,36326,10353
"2020-03-12",51,8,,,5,,16,15938,4750,,,0,2735,671,,51,25973,5741
"2020-03-11",43,6,,,3,,11,11188,3421,,,0,2064,509,,51,20232,4043
